Symbol,Name,LastSale,MarketCap,,,,,,
AAPL,Apple Inc.,159.65,8.24629E+11,,,,,,
GOOGL,Alphabet Inc.,950.44,6.5854E+11,,,,,,
GOOG,Alphabet Inc.,935.09,6.47905E+11,,,,,,
MSFT,Microsoft Corporation,75.21,5.79286E+11,,,,,,
FB,"Facebook, Inc.",173.05,5.02571E+11,,,,,,
AMZN,"Amazon.com, Inc.",999.6,4.80187E+11,,,,,,
CMCSA,Comcast Corporation,37.96,1.7892E+11,,,,,,
INTC,Intel Corporation,36.33,1.70715E+11,,,,,,
CSCO,"Cisco Systems, Inc.",32.18,1.59354E+11,,,,,,
AMGN,Amgen Inc.,189.7,1.38419E+11,,,,,,
CELG,Celgene Corporation,141.26,1.10515E+11,,,,,,
GILD,"Gilead Sciences, Inc.",83.68,1.0928E+11,,,,,,
NVDA,NVIDIA Corporation,170.37,1.02222E+11,,,,,,
AVGO,Broadcom Limited,246.24,1.00461E+11,,,,,,
KHC,The Kraft Heinz Company,81.91,99786949403,,,,,,
CHTR,"Charter Communications, Inc.",385.13,99318762090,,,,,,
PCLN,The Priceline Group Inc. ,1871.17,91797764582,,,,,,
WBA,"Walgreens Boots Alliance, Inc.",82.73,88529082287,,,,,,
TXN,Texas Instruments Incorporated,82.7,81876194618,,,,,,
NFLX,"Netflix, Inc.",183.64,79286522988,,,,,,
SBUX,Starbucks Corporation,54.29,78389331000,,,,,,
ADBE,Adobe Systems Incorporated,156.24,77089702662,,,,,,
QCOM,QUALCOMM Incorporated,51.01,75294167264,,,,,,
PYPL,"PayPal Holdings, Inc.",62.04,74596711369,,,,,,
COST,Costco Wholesale Corporation,162.99,71486328487,,,,,,
BIIB,Biogen Inc.,324.05,68514457291,,,,,,
BIDU,"Baidu, Inc.",236.41,65295082643,,,,,,
MDLZ,"Mondelez International, Inc.",41.12,61994153963,,,,,,
TSLA,"Tesla, Inc. ",366.23,61119034433,,,,,,
AMOV,"America Movil, S.A.B. de C.V.",18.4109,60570019910,,,,,,
AABA,Altaba Inc.,66.52,58994889013,,,,,,
QQQ,"PowerShares QQQ Trust, Series 1",146.42,53106534000,,,,,,
TMUS,"T-Mobile US, Inc.",62.8,52189850384,,,,,,
ATVI,"Activision Blizzard, Inc",65.4,49371844780,,,,,,
AMAT,"Applied Materials, Inc.",46.12,49186388050,,,,,,
FOX,"Twenty-First Century Fox, Inc.",26.15,48405164503,,,,,,
ADP,"Automatic Data Processing, Inc.",107.2,47644260442,,,,,,
CSX,CSX Corporation,52.07,47556208431,,,,,,
REGN,"Regeneron Pharmaceuticals, Inc.",437.74,46904814096,,,,,,
CME,CME Group Inc.,130.87,44484303987,,,,,,
CTSH,Cognizant Technology Solutions Corporation,72.27,42684301879,,,,,,
JD,"JD.com, Inc.",45.27,41520223473,,,,,,
EBAY,eBay Inc.,38.27,40960974912,,,,,,
MAR,Marriott International,106.77,39763296426,,,,,,
VRTX,Vertex Pharmaceuticals Incorporated,156.8,39532238659,,,,,,
ISRG,"Intuitive Surgical, Inc.",1042.88,38882536644,,,,,,
MU,"Micron Technology, Inc.",34.59,38535537198,,,,,,
NXPI,NXP Semiconductors N.V.,112.63,38082366059,,,,,,
EA,Electronic Arts Inc.,119.6,36923835192,,,,,,
ESRX,Express Scripts Holding Company,63.24,36524198760,,,,,,
INTU,Intuit Inc.,142.06,36221535978,,,,,,
EQIX,"Equinix, Inc.",458.87,35766677214,,,,,,
ALXN,"Alexion Pharmaceuticals, Inc.",146.46,32687710983,,,,,,
FOXA,"Twenty-First Century Fox, Inc.",26.59,32464793510,,,,,,
MNST,Monster Beverage Corporation,56.38,32033373971,,,,,,
ILMN,"Illumina, Inc.",213.43,31160780000,,,,,,
ADI,"Analog Devices, Inc.",82.06,30170815155,,,,,,
LRCX,Lam Research Corporation,171.52,27864227743,,,,,,
LBTYA,Liberty Global plc,32.45,27004553234,,,,,,
LBTYB,Liberty Global plc,32.25,26838115310,,,,,,
LBTYK,Liberty Global plc,31.64,26330479640,,,,,,
FISV,"Fiserv, Inc.",123.99,26095622305,,,,,,
ADSK,"Autodesk, Inc.",116.18,25465755373,,,,,,
INCY,Incyte Corporation,123.59,25423047704,,,,,,
WDC,Western Digital Corporation,85.74,25282583786,,,,,,
DISH,DISH Network Corporation,53.94,25142103180,,,,,,
SIRI,Sirius XM Holdings Inc.,5.42,25002544856,,,,,,
PCAR,PACCAR Inc.,69.12,24287142367,,,,,,
ROST,"Ross Stores, Inc.",61.41,23679209756,,,,,,
CTRP,"Ctrip.com International, Ltd.",52.99,23612768344,,,,,,
CERN,Cerner Corporation,70.51,23379890184,,,,,,
AMTD,TD Ameritrade Holding Corporation,44.25,23370603649,,,,,,
AAL,"American Airlines Group, Inc.",47,22889433105,,,,,,
HBANO,Huntington Bancshares Incorporated,27.98,22291360374,,,,,,
EXPE,"Expedia, Inc.",145.66,22087385262,,,,,,
VCSH,Vanguard Short-Term Corporate Bond ETF,80.16,20860239765,,,,,,
PAYX,"Paychex, Inc.",58.04,20814802957,,,,,,
NTES,"NetEase, Inc.",270.27,20601642642,,,,,,
MCHP,Microchip Technology Incorporated,88.34,20559231185,,,,,,
WLTW,Willis Towers Watson Public Limited Company,152.88,20530078776,,,,,,
SYMC,Symantec Corporation,33.08,20328980851,,,,,,
TROW,"T. Rowe Price Group, Inc.",84.27,20254965373,,,,,,
NTRS,Northern Trust Corporation,88.27,20168455424,,,,,,
DLTR,"Dollar Tree, Inc.",84.41,19992058173,,,,,,
SWKS,"Skyworks Solutions, Inc.",106.8,19623446525,,,,,,
FITB,Fifth Third Bancorp,26.33,19397991236,,,,,,
INFO,IHS Markit Ltd.,47.34,18897998336,,,,,,
CHKP,Check Point Software Technologies Ltd.,113.34,18811629621,,,,,,
PFF,iShares U.S. Preferred Stock ETF,38.85,18492600000,,,,,,
LBRDK,Liberty Broadband Corporation,101.53,18461316660,,,,,,
ORLY,"O&#39;Reilly Automotive, Inc.",208.01,18308350439,,,,,,
LBRDA,Liberty Broadband Corporation,99.8,18146748770,,,,,,
MYL,Mylan N.V.,33.56,17997581567,,,,,,
SBAC,SBA Communications Corporation,149.15,17951354087,,,,,,
IBKR,"Interactive Brokers Group, Inc.",41.98,17333974310,,,,,,
DVY,iShares Select Dividend ETF,93.3,17008590000,,,,,,
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,88.03,16990934742,,,,,,
XLNX,"Xilinx, Inc.",66.97,16648843460,,,,,,
BMRN,BioMarin Pharmaceutical Inc.,92.75,16256136773,,,,,,
VIA,Viacom Inc.,38.5,15482760717,,,,,,
KLAC,KLA-Tencor Corporation,96.74,15172742231,,,,,,
WYNN,"Wynn Resorts, Limited",145.47,14920282275,,,,,,
